,tic,statpers,fyear,actual,actual_lag1,meanest,medest,numest,stdev,statest,spe.statest,spe.medest,spe.meanest
312,TXI,18822,2012,-1.7,-1.9,-0.87,-0.91,12,0.28,-0.156441858040465,2.38257173760957,0.6241,0.6889
313,TXN,19039,2013,1.64,2.21,1.88,1.85,30,0.2,2.09503123570604,0.207053425468162,0.0441000000000001,0.0576
314,TXT,19039,2013,1.97,1.31,1.9,1.9,12,0.08,1.42500338857957,0.297021306459746,0.00490000000000001,0.00490000000000001
315,TMO,19039,2013,4.94,4.16,4.76,4.75,20,0.05,4.02125690975256,0.844088865877412,0.0361000000000001,0.0324000000000002
316,TNB,18311,2011,2.75,2.23,2.5,2.45,9,0.15,2.25763281459942,0.242425445259289,0.0899999999999999,0.0625
317,COMS,17366,2008,0.23,0.1,0.14,0.15,6,0.06,-0.427725983291063,0.432603469096195,0.0064,0.0081
318,TIF,19102,2013,3.25,3.6,3.98,4,20,0.07,3.72872625875777,0.229178830824215,0.5625,0.5329
319,TKR,19039,2013,4.66,4.59,5.28,5.25,10,0.16,4.8608583099262,0.0403440606664096,0.3481,0.3844
321,TR,18367,2011,0.8352,0.8441,0.85,0.85,1,NA,0.9629111851855,0.016310146821485,0.000219039999999998,0.000219039999999998
322,TOT,19102,2013,7.01,7.03,7.37,7.5,7,0.93,7.98765657867911,0.955812385834552,0.2401,0.1296
323,TG,19067,2013,1.2,0.89,1.57,1.57,2,0.47,1.00055622638976,0.0397778188318907,0.1369,0.1369
324,TRN,19039,2013,1.595,0.825,1.22,1.24,6,0.1,1.06874306600563,0.276946360577159,0.126025,0.140625
325,TUP,19039,2013,4.99,4.45,5.04,5.02,9,0.04,4.99622709061165,3.87766574856961e-05,0.000899999999999962,0.00249999999999998
326,TSN,19347,2013,2.26,1.91,1.85,1.92,14,0.18,0.433008007001078,3.33789974248217,0.1156,0.1681
327,USTR,19039,2013,2.82,2.51,2.67,2.6,5,0.21,2.62751191327969,0.0370516635292447,0.0483999999999999,0.0225
328,UTX,19039,2013,5.35,5.49,5.59,5.53,15,0.11,5.87972803013567,0.280611785911418,0.0324000000000002,0.0576000000000001
329,UVV,19158,2013,4.72,4.67,4.5,4.5,1,NA,4.46171173661579,0.0667128270020328,0.0483999999999999,0.0483999999999999
330,UHS,19067,2013,4.15,3.97,4.42,4.4,18,0.04,3.08747525181922,1.12895884049662,0.0625,0.0728999999999998
331,UCL,15756,2004,2.95,1.72,1.86,1.87,17,0.36,1.81593385628968,1.28610601831,1.1664,1.1881
332,VFC,19039,2013,2.4075,2.045,2.38,2.38,19,0.05,2.12871175783878,0.077722883967344,0.000756250000000017,0.000756250000000017
333,VLO,19039,2013,5.59,3.38,3.5,3.48,18,0.49,2.81607533333886,7.69465805631112,4.4521,4.3681
334,VAL,19347,2013,3.54,3.28,3.77,3.75,14,0.07,2.94205362626115,0.357539865867444,0.0441,0.0529
335,VRTX,19039,2013,-0.24,0.14,3.23,3.09,21,1,-1.36184163748425,1.25852865959335,11.0889,12.0409
336,VSH,19039,2013,0.71,1.46,0.98,0.99,6,0.11,1.42518845585104,0.511494527382593,0.0784,0.0729
337,VMC,19039,2013,-0.46,-0.87,-0.69,-0.67,19,0.18,-0.692966459307042,0.0542733711620597,0.0441,0.0529
338,WMT,19067,2013,5.02,4.49,4.85,4.85,29,0.06,4.69620161294672,0.104845395458304,0.0289,0.0289
339,WAG,19284,2013,3.12,2.71,3.41,3.4,13,0.07,2.88545780204237,0.0550100426227939,0.0783999999999999,0.0841
340,WLA,13929,1999,1.48,1.0367,1.41,1.42,33,0.02,1.09893703437647,0.145208983769798,0.00360000000000001,0.00490000000000001
341,WMK,17947,2010,2.33,1.74,1.7,1.7,1,NA,1.5864386413312,0.552883494105396,0.3969,0.3969
